Latitude,Longitude
43.642865,7.1248359
43.6338587,7.1249599
43.6338559,7.1248033
43.6338232,7.1246703
43.6337793,7.1245429
43.633713,7.1244133
43.6335134,7.1241922
43.6332851,7.1239549
43.6331099,7.1237407
43.6329656,7.1235329
43.6328997,7.1234131
43.6328304,7.1232808
43.6326785,7.1228641
43.6322613,7.1216866
43.6319755,7.1206175
43.6318233,7.1200638
43.6316743,7.1196203
43.6315041,7.1192327
43.6313553,7.1189129
43.6311551,7.1185558
43.6309803,7.1182693
43.6307588,7.1179478
43.6305341,7.1176758
43.6302906,7.1174282
43.6300767,7.1172214
43.6298146,7.1170043
43.6295531,7.1168251
43.6292607,7.1166514
43.6289417,7.1164991
43.6286828,7.1164008
43.6283634,7.1163129
43.6280942,7.1162692
43.6276235,7.1162217
43.6264082,7.1161755
43.619948,7.1159486
43.6195688,7.1159291
43.6192064,7.1158997
43.6190246,7.1158785
43.6186499,7.11582
43.6183432,7.115757
43.6180003,7.115657
43.6176641,7.1155465
43.6172724,7.1153926
43.6169806,7.1152561
43.6166972,7.1151134
43.6163102,7.1149014
43.6159394,7.1146628
43.6156144,7.1144359
43.6152838,7.1141697
43.6149622,7.113891
43.6146264,7.1135646
43.6143634,7.1132985
43.6140415,7.1129305
43.6138067,7.1126421
43.6135602,7.1123065
43.6133114,7.1119446
43.6130786,7.1115775
43.6128689,7.1112346
43.612686,7.1109023
43.6125628,7.1106521
43.6124296,7.1103777
43.6122629,7.110016
43.6121064,7.1096508
43.6119622,7.1092686
43.6118134,7.1088535
43.6117139,7.1085577
43.6116378,7.1083086
43.6115091,7.1078547
43.6114038,7.1074089
43.6113013,7.106933
43.6111792,7.1062822
43.6110998,7.1057999
43.6107199,7.1035671
43.6106352,7.1030959
43.6105504,7.1026768
43.6104648,7.1022804
43.6103548,7.1018311
43.610185,7.1012368
43.61005,7.1008023
43.6099155,7.1004239
43.6097634,7.1000332
43.6096507,7.0997633
43.6092463,7.09885
43.6053222,7.0902098
43.6051743,7.0898783
43.6050437,7.089464
43.6049647,7.0892542
43.6048587,7.0889844
43.6047209,7.0886199
43.6046188,7.0882904
43.6045326,7.0879459
43.6042372,7.0864636
43.6042189,7.0863649
43.6041967,7.0862657
43.6038893,7.085339
43.6038616,7.0851914
43.603828,7.0850123
43.603819,7.0848737
43.6038117,7.0847154
43.6038192,7.0845786
43.6038431,7.0843743
43.6038563,7.0842565
43.6038858,7.0838245
43.6038994,7.0836717
43.6039264,7.0835601
43.6039619,7.083457
43.6040191,7.0833514
43.6040882,7.083261
43.6041751,7.083169
43.6044086,7.0830078
43.6047377,7.0827823
43.6050645,7.0825601
43.6051508,7.0824683
43.6052041,7.0823942
43.6052831,7.0822803
43.6053658,7.082191
43.6054545,7.0821162
43.6055492,7.0820389
43.6056949,7.0819613
43.6058305,7.0819169
43.60609,7.081866
43.6064492,7.0818105
43.6066888,7.0817731
43.607074,7.0818088
43.6075091,7.0819004
43.6081973,7.0820433
43.6085993,7.0821151
43.6088668,7.0821476
43.6091097,7.0821664
43.6093635,7.0821796
43.6096442,7.0821269
43.6098834,7.0820537
43.610114,7.0819595
43.6103107,7.0818284
43.6105559,7.0816453
43.610746,7.0814519
43.6109593,7.0811767
43.6111599,7.0808157
43.6113442,7.0804399
43.611505,7.0799475
43.6115632,7.0797628
43.6117886,7.0789862
43.6118255,7.078882
43.61186,7.0788039
43.6119012,7.0787385
43.611927,7.0787055
43.6119753,7.07872
43.6120247,7.0787178
43.6120722,7.0786988
43.6121149,7.0786643
43.6122396,7.0786835
43.6123511,7.0786985
43.6124352,7.0787378
43.612508,7.0787934
43.6126561,7.0789227
43.6129701,7.0792136
43.6134761,7.0796768
43.6137226,7.0798769
43.6140525,7.0801168
43.6142567,7.0802402
43.6144407,7.0803428
43.6148904,7.0806037
43.614915,7.0806184
43.6149792,7.080659
43.6150306,7.0807055
43.6150569,7.0807733
43.615096,7.0808278
43.6151448,7.0808647
43.6151991,7.0808808
43.6152525,7.0808754
